model,val_loss,val_dice,val_jaccard,val_bacc,val_auc,epoch
manet_contrast_a0.9_b-20_f1,0.3316125199198723,0.90070541203022,0.819379597902298,0.913084477186203,0.9755269885063171,31
manet_contrast_a0.9_b-20_f2,0.33676763623952866,0.899121105670929,0.8167695105075836,0.9127801954746246,0.9751518219709396,33
manet_contrast_a0.9_b-20_f3,0.3431427851319313,0.8942268490791321,0.8087528198957443,0.9111535251140594,0.9745066165924072,20
manet_contrast_a0.9_b-20_f4,0.35672351717948914,0.8915753960609436,0.8044494688510895,0.9069764465093613,0.9720363169908524,30
manet_contrast_a0.9_b-10_f0,0.33642759919166565,0.8980606645345688,0.8150066286325455,0.9123563021421432,0.9751571714878082,24
manet_contrast_a0.9_b-10_f1,0.3334546461701393,0.9008717685937881,0.8196586966514587,0.9135561585426331,0.9754973351955414,18
manet_contrast_a0.9_b-10_f2,0.33660803735256195,0.8990864753723145,0.8167075663805008,0.9127281159162521,0.9752346128225327,24
manet_contrast_a0.9_b-10_f3,0.34132589399814606,0.894717738032341,0.8095536082983017,0.9116771519184113,0.9747464209794998,26
manet_contrast_a0.9_b-10_f4,0.35932040214538574,0.8912101536989212,0.8038600087165833,0.9068016707897186,0.971795991063118,26
manet_contrast_a0.9_b0_f0,0.33552658557891846,0.8985811620950699,0.8158689141273499,0.9131388664245605,0.9754689931869507,28
manet_contrast_a0.9_b0_f1,0.3304853141307831,0.9012575894594193,0.8202967196702957,0.9137691110372543,0.9757180362939835,35
manet_contrast_a0.9_b0_f2,0.335441030561924,0.8994314074516296,0.8172803372144699,0.9130250215530396,0.9753219932317734,20
manet_contrast_a0.9_b0_f3,0.34045109152793884,0.8939139693975449,0.8082395493984222,0.910122349858284,0.974834531545639,29
manet_contrast_a0.9_b0_f4,0.36042798310518265,0.8916849344968796,0.804631307721138,0.907601535320282,0.972027599811554,26
manet_contrast_a0.9_b10_f0,0.3362273499369621,0.8981643915176392,0.8151827901601791,0.9126317352056503,0.9752927124500275,34
manet_contrast_a0.9_b10_f1,0.33143480122089386,0.9006929099559784,0.819354459643364,0.9130347073078156,0.9755744636058807,24
manet_contrast_a0.9_b10_f2,0.3363160640001297,0.8996466249227524,0.8176375925540924,0.9133713990449905,0.9754899442195892,29
