model,val_loss,val_dice,val_jaccard,val_bacc,val_auc,epoch
unet_rotate_90_ccw_f2,0.33725806325674057,0.8989672362804413,0.8165166676044464,0.9125389456748962,0.9749732911586761,37
unet_rotate_90_ccw_f3,0.3421100676059723,0.894809752702713,0.809706375002861,0.9119806438684464,0.9747497737407684,57
unet_rotate_90_ccw_f4,0.36175724118947983,0.8900302797555923,0.8019406348466873,0.9052185118198395,0.9714033901691437,61
unet_flip_horizontal_f0,0.3371231108903885,0.8980004489421844,0.8149136602878571,0.9124158620834351,0.9750808924436569,44
unet_flip_horizontal_f1,0.33471226692199707,0.8998359739780426,0.8179426044225693,0.9124630689620972,0.9751298874616623,55
unet_flip_horizontal_f2,0.33496806025505066,0.8994887620210648,0.8173776566982269,0.9129936397075653,0.9752892851829529,52
unet_flip_horizontal_f3,0.34425683319568634,0.8939917385578156,0.8083769381046295,0.9111748784780502,0.9743495285511017,52
unet_flip_horizontal_f4,0.3583846092224121,0.8909380435943604,0.8034193068742752,0.9062540233135223,0.9717215597629547,42
unet_flip_vertical_f0,0.3378038853406906,0.897649958729744,0.8143342137336731,0.9118017107248306,0.9749483913183212,55
unet_flip_vertical_f1,0.3325084522366524,0.9002380073070526,0.8186059892177582,0.9126860052347183,0.9753754585981369,42
unet_flip_vertical_f2,0.33148957043886185,0.8999672681093216,0.8181631565093994,0.9130443185567856,0.9756232053041458,61
unet_flip_vertical_f3,0.3500775247812271,0.8927793800830841,0.8063905239105225,0.9104211777448654,0.9738193452358246,33
unet_flip_vertical_f4,0.3597228452563286,0.8906269520521164,0.8029098510742188,0.9061260968446732,0.971532866358757,37
unet_gauss_003_f0,0.3481168821454048,0.8949412107467651,0.8098881393671036,0.9100058972835541,0.9736646711826324,15
unet_gauss_003_f1,0.3399711102247238,0.8972668349742889,0.813708558678627,0.9096998572349548,0.9743119478225708,19
unet_gauss_003_f2,0.34596795588731766,0.8965952694416046,0.8126107454299927,0.9104244410991669,0.9737463891506195,13
unet_gauss_003_f3,0.3511301651597023,0.8912848383188248,0.8039509952068329,0.9083675891160965,0.9731961637735367,21
unet_gauss_003_f4,0.3692875877022743,0.8885948061943054,0.7996149808168411,0.9046694934368134,0.9703464359045029,14
unet_gauss_005_f0,0.34130601584911346,0.8963112235069275,0.8121333569288254,0.9106095731258392,0.9743179380893707,24
unet_gauss_005_f1,0.340426467359066,0.8983632326126099,0.8155121058225632,0.9111519008874893,0.97427998483181,21
unet_gauss_005_f2,0.3405725657939911,0.8982249796390533,0.8152880221605301,0.911881610751152,0.9745579659938812,24
unet_gauss_005_f3,0.3525495007634163,0.8916971534490585,0.8046323955059052,0.9094604253768921,0.973263144493103,19
unet_gauss_005_f4,0.36624322086572647,0.8882900029420853,0.799121081829071,0.9036791920661926,0.9705322235822678,14
unet_gauss_01_f0,0.34835896641016006,0.8949174135923386,0.8098466396331787,0.9098576754331589,0.9736332893371582,13
unet_gauss_01_f1,0.3401598408818245,0.8980856835842133,0.8150516450405121,0.9106943905353546,0.9742408692836761,15
unet_gauss_01_f2,0.34471142292022705,0.8970325440168381,0.8133299350738525,0.9109002500772476,0.9740450531244278,17
unet_gauss_01_f3,0.35081419348716736,0.8921350240707397,0.8053436875343323,0.9097175896167755,0.9734527617692947,19
unet_gauss_01_f4,0.36548400670289993,0.8893852084875107,0.8008956760168076,0.9051958620548248,0.9707431644201279,20
unet_gauss_02_f0,0.3496341109275818,0.8947358578443527,0.8095506131649017,0.9098125249147415,0.973622053861618,13
unet_gauss_02_f1,0.34482307732105255,0.8967914879322052,0.8129186630249023,0.9095838367938995,0.9735079705715179,23
unet_gauss_02_f2,0.3492814898490906,0.8964745849370956,0.8124144375324249,0.9106861501932144,0.9740115702152252,23
unet_gauss_02_f3,0.35017937421798706,0.8916191011667252,0.8044944554567337,0.908420205116272,0.9734624475240707,23
unet_gauss_02_f4,0.36665524542331696,0.8893725275993347,0.8008757084608078,0.905224084854126,0.9706960022449493,20
unet_gauss_05_f0,0.3439382538199425,0.8959382325410843,0.8115227371454239,0.9105738401412964,0.9741048961877823,21
unet_gauss_05_f1,0.337637260556221,0.8983983546495438,0.8155665546655655,0.9107793271541595,0.9746129959821701,24
unet_gauss_05_f2,0.33549831807613373,0.8987007141113281,0.8160764873027802,0.9117733836174011,0.9750729203224182,45
unet_gauss_05_f3,0.351179838180542,0.8915935754776001,0.8044582158327103,0.9086694866418839,0.9732543081045151,26
unet_gauss_05_f4,0.3694874420762062,0.8883952349424362,0.7992884665727615,0.9045954197645187,0.970385804772377,23
unet_contrast_a0.8_b-20_f0,0.3440208286046982,0.8961812108755112,0.8119199723005295,0.9111262410879135,0.9742708802223206,31
unet_contrast_a0.8_b-20_f1,0.33617397397756577,0.8991619944572449,0.8168314397335052,0.9116504043340683,0.9747878313064575,24
unet_contrast_a0.8_b-20_f2,0.34640201926231384,0.8967668116092682,0.8128893971443176,0.9106861501932144,0.9738515019416809,33
unet_contrast_a0.8_b-20_f3,0.35339562594890594,0.8910656422376633,0.8035970628261566,0.9086222052574158,0.9729848206043243,19
unet_contrast_a0.8_b-20_f4,0.36602725833654404,0.888727143406868,0.7998337000608444,0.9045358300209045,0.9706116914749146,23
unet_contrast_a0.8_b-10_f0,0.3415416553616524,0.8958483338356018,0.8113701194524765,0.9099415093660355,0.9743680059909821,24
unet_contrast_a0.8_b-10_f1,0.34106846898794174,0.8985493034124374,0.8158270567655563,0.9114244729280472,0.9743480384349823,22
unet_contrast_a0.8_b-10_f2,0.3416961058974266,0.8970862329006195,0.8134177625179291,0.9105870425701141,0.9741033464670181,25
unet_contrast_a0.8_b-10_f3,0.3511112481355667,0.892376109957695,0.805742084980011,0.9102286845445633,0.973568394780159,23
unet_contrast_a0.8_b-10_f4,0.36576616764068604,0.889574408531189,0.801210343837738,0.9056755304336548,0.970922589302063,23
unet_contrast_a0.8_b0_f0,0.3434963971376419,0.8960291296243668,0.8116679936647415,0.9105226397514343,0.9741445183753967,26
unet_contrast_a0.8_b0_f1,0.3405127450823784,0.8990843296051025,0.8167059570550919,0.9122124761343002,0.9748744070529938,26
unet_contrast_a0.8_b0_f2,0.34371285885572433,0.8967315256595612,0.8128353804349899,0.9103682190179825,0.9738714098930359,17
unet_contrast_a0.8_b0_f3,0.35330983251333237,0.8920424431562424,0.8052004426717758,0.9101415127515793,0.9734885394573212,23
unet_contrast_a0.8_b0_f4,0.37220440804958344,0.8886882960796356,0.7997793555259705,0.9053252935409546,0.9706522673368454,23
unet_contrast_a0.8_b10_f0,0.3423660025000572,0.8963396102190018,0.8121782392263412,0.91090989112854,0.9742576628923416,24
unet_contrast_a0.8_b10_f1,0.3454086109995842,0.8981641680002213,0.8151908814907074,0.9114176332950592,0.9743926674127579,16
unet_contrast_a0.8_b10_f2,0.3413956016302109,0.8977995812892914,0.8145926594734192,0.9114272445440292,0.9742781817913055,24
unet_contrast_a0.8_b10_f3,0.351790651679039,0.8919215500354767,0.8049977123737335,0.909663125872612,0.9733865857124329,19
unet_contrast_a0.8_b10_f4,0.36909954994916916,0.8895210027694702,0.8011303544044495,0.9058182239532471,0.9708677977323532,20
unet_contrast_a0.8_b20_f0,0.3434881940484047,0.8962504714727402,0.8120340406894684,0.9109995812177658,0.9742530137300491,24
unet_contrast_a0.8_b20_f1,0.3389113321900368,0.8989794254302979,0.8165324926376343,0.9116733074188232,0.9746401458978653,22
unet_contrast_a0.8_b20_f2,0.34017857909202576,0.8981224894523621,0.8151217550039291,0.9117224216461182,0.974488154053688,24
unet_contrast_a0.8_b20_f3,0.3523383215069771,0.8917918056249619,0.8047784268856049,0.9089297950267792,0.9732842147350311,25
unet_contrast_a0.8_b20_f4,0.3675149902701378,0.889555811882019,0.8011717200279236,0.9051539450883865,0.9709170311689377,20
unet_contrast_a0.9_b-20_f0,0.34485814720392227,0.8952536582946777,0.8103933781385422,0.909637063741684,0.973884716629982,28
unet_contrast_a0.9_b-20_f1,0.33864670991897583,0.8982491344213486,0.8153259605169296,0.9107589572668076,0.9744442403316498,21
unet_contrast_a0.9_b-20_f2,0.34032289683818817,0.8970568478107452,0.8133676201105118,0.910294771194458,0.9743143916130066,22
unet_contrast_a0.9_b-20_f3,0.35300344973802567,0.8901336789131165,0.8020842671394348,0.9067923724651337,0.9728904664516449,14
unet_contrast_a0.9_b-20_f4,0.37022116035223007,0.8886285871267319,0.7996831238269806,0.9051184952259064,0.9705135524272919,23
unet_contrast_a0.9_b-10_f0,0.3490850329399109,0.8948600739240646,0.8097561299800873,0.9100711792707443,0.9736308455467224,20
unet_contrast_a0.9_b-10_f1,0.34360168129205704,0.8980018645524979,0.8149266988039017,0.9111888706684113,0.9741999953985214,19
unet_contrast_a0.9_b-10_f2,0.3410141319036484,0.8979159742593765,0.8147800266742706,0.9116678237915039,0.9744602143764496,25
unet_contrast_a0.9_b-10_f3,0.35280851274728775,0.891141951084137,0.8037327080965042,0.908778727054596,0.973073810338974,23
unet_contrast_a0.9_b-10_f4,0.3745465353131294,0.8879873156547546,0.7986365556716919,0.9040898680686951,0.9700035005807877,26
unet_contrast_a0.9_b0_f0,0.3502193093299866,0.8945623487234116,0.8092673420906067,0.9099065363407135,0.9734849780797958,23
unet_contrast_a0.9_b0_f1,0.34447309374809265,0.8980867713689804,0.8150591850280762,0.9111432284116745,0.974239781498909,21
unet_contrast_a0.9_b0_f2,0.34127525240182877,0.8976697027683258,0.81437748670578,0.9111569672822952,0.9743494689464569,24
